№ в ГТИБД,Название,Класс,Кол-во комнат,Кол-во спальных мест,Адрес (ручной),Адрес (авто),Город (авто),Район,Округ,Улица,Номер дома,Ближайшее метро,Линия ближайшего метро,Расстояние до ближайшего метро (м),Широта ближайшего метро,Долгота ближайшего метро,Телефоны,Факсы,Официальный сайт,Электронная почта,Примечания,Услуги,Широта объекта,Долгота объекта
12317,КОМФОРТ,Мини-отель,7,14,"191014, Санкт-Петербург, ул. Чехова, ","Санкт-Петербург, улица Чехова",Санкт-Петербург,Центральный,,улица Чехова,,Маяковская,Невско-Василеостровская линия,,59.931427,30.355178,+7(812)2725408;,,,2 comfort2@yandex.ru ,"• кабельное телевидение
• принадлежности для чая/кофе 
• оборудованная ванная комната
• WiFi","• Wi-Fi Бесплатный
• Глажка одежды персоналом
• Допускается размещение домашних животных
• Завтрак в номер
• Заказ Авиа и Ж/Д билетов
• Интернет
• Круглосуточная стойка регистрации
• Обслуживание номеров
• Отопление
• Прачечная
• Сейф
• Факс / Ксерокопирование
• Экскурсионное бюро",59.937427,30.352834
12318,КОРОНА,Мини-отель,8,14,"191186, Санкт-Петербург, Малая Конюшенная ул., 7 ","Санкт-Петербург, Малая Конюшенная улица, 7",Санкт-Петербург,Центральный,,Малая Конюшенная улица,7,Невский Проспект,Московско-Петроградская линия,261.0,59.935579,30.327025,+7(812)5710086;,,,korona-spb@inbox.ru ,"• кондиционеры тепло/холод с индивидуальным управлением,
• спутниковое телевидение,
• полы с подогревом в ванных комнатах,
• минисейфы с индивидуальным кодом,
• фены.","• связь: телефон, факс, wi-fi подсоединение, доступ в Интернет с гостевого компьютера,
• ксерокопирование,
• услуга побудки в назначенное время,
• трансфер,
• бесплатный чай 24 часа в сутки,
• стирка и глажка белья.",59.936778,30.324699
12319,КОФЕ С МОЛОКОМ,Мини-отель,4,7,"190068, Санкт-Петербург, пер. Бойцова, 4, вход в арку","Санкт-Петербург, переулок Бойцова, 4",Санкт-Петербург,Адмиралтейский,,переулок Бойцова,4,Садовая,Фрунзенско-Приморская линия,768.0,59.926476,30.318213,+7(812)6430812; +7(921)5715246 моб.;,,,spbminihotel@gmail.com,"•  горячий завтрак
• бесплатная питьевая вода
• тапочки, шампунь и фен в номере
• наличие холодильника и гладильные принадлежности общего пользования
• бесплатный высокоскоростной wi-fi 
• кабельное телевидение","• библиотека 
• бесплатный горячий кофе",59.922291,30.310559
12320,КРАСНЫЙ ТЕРЕМ,Мини-отель,17,24,"191025, Санкт-Петербург, Невский пр., 74, кв. 99 ","Санкт-Петербург, Невский проспект, 74",Санкт-Петербург,Центральный,,Невский проспект,74,Маяковская,Невско-Василеостровская линия,556.0,59.931427,30.355178,+7(812)2720781;,,,ntr@mail.wplus.net ,"• телефон
• телевизор
• холодильник
• кондиционер
• душевая кабина
• фен
• мини-бар
• чайник
• бесплатный Wi-Fi,
• косметические принадлежности, халаты, тапочки
• завтрак","• ресторан-бар
• бесплатный wi-fi
• вызов такси, заказ трансфера, аренда автомобиля
• хранение вещей
• информация о билетах и т.д.",59.933113,30.34686
12321,КРОНА,Мини-отель,35,67,"197758, Санкт-Петербург, пос. Песочный, ул. Карла Маркса, 58  ","Санкт-Петербург, поселок Песочный, улица Карла Маркса, 58",Санкт-Петербург,Курортный,,улица Карла Маркса,58,,,1.0,,, +7(812)5966412;,,,home_krona@mail.ru,"• ванная комната
• туалет
• телевизор","• кафе;
• бильярдный зал;
• русская баня;
• заказ такси;
• заказ билетов в театры и на концерты;
• доставка блюд из ресторанов",60.126275,30.138244
12322,КРУПИГОР,Мини-отель,2,6,"198255, Санкт-Петербург, ул. Лёни Голикова, 4  ","Санкт-Петербург, улица Лени Голикова, 4",Санкт-Петербург,Кировский,,улица Лени Голикова,4,Проспект Ветеранов,Кировско-Выборгская линия,1785.0,59.84211,30.250588, +7(812)9280812;,,,info@krupskiy.ru,"• кухня с микроволновой плитой, плитой, холодильником 
• телевизор
• утюг
• чайник",,59.847941,30.231714
12323,КРЫША,Мини-отель,16,29,"191025, Санкт-Петербург, Владимирский пр., 1, 5-й эт., оф. 29","Санкт-Петербург, Владимирский проспект, 1",Санкт-Петербург,Центральный,,Владимирский проспект,1,Достоевская,Правобережная линия,516.0,59.928185,30.346204, +7(812)9722728 ;,,,krisha-29@mail.ru ,"• телевизор, 
• телефон, 
• бесплатный доступ к интернету (Wi-Fi), 
• кондиционер с индивидуальным контролем температурного режима","• Организация трансфера (за дополнительную плату)
• Организация экскурсионного обслуживания
• Организация доставки ужина в номер
• Заказ авиа-, железнодорожных билетов
• Заказ билетов в театры и музеи
• Заказ столика в ресторане
• Услуги прачечной, химчистки
• Микроволновая печь
• Посуда и столовые приборы
• Утюг",59.932198,30.347067
12324,"КУЗНЕЦОВСКАЯ, 11",Мини-отель,7,35,"196128, Санкт-Петербург, Кузнецовская ул., 11 weonyx@mail.ru Тел.: (812)6587883","Санкт-Петербург, Кузнецовская улица, 11",Санкт-Петербург,Московский,,Кузнецовская улица,11,Парк Победы,Московско-Петроградская линия,1443.0,59.866269,30.321887,,,,,"• wi-fi
• бытовая техника
• кухня",• бесплатная парковка,59.870687,30.311457
12325,КЭННИ ХАУЗ,Мини-отель,4,8,"191025, Санкт-Петербург, Стремянная ул., 7","Санкт-Петербург, Стремянная улица, 7",Санкт-Петербург,Центральный,,Стремянная улица,7,Маяковская,Невско-Василеостровская линия,361.0,59.931427,30.355178,+7(921)9471597 моб.;,,,cannyhouse@yandex.ru,"• Телевизор
• Бесплатный Wi-Fi
• Индивидуальная ванная комната
• Фен","• услуги прачечной и глажки
• прокат автомобилей и экскурсии
• возможна организация трансфера до аэропорта 
• бесплатный завтрак",59.931003,30.350211
12326,ЛАДОЖСКИЙ,Мини-отель,25,25,"195279, Санкт-Петербург, шоссе Революции, 112, корп. 3  ","Санкт-Петербург, шоссе Революции, 112к2А",Санкт-Петербург,Красногвардейский,,шоссе Революции,112к2А,,,1.0,,,+7(812)9167070;,,,grotel2013@yandex.ru,"• плазменная панель
• DVD и музыкальный центр
• индивидуальный санузел с просторной душевой кабиной","• парковка
• центр отдыха",59.965971,30.474079
12327,ЛАЙНЕР,Мини-отель,22,22,"197733, Санкт-Петербург, пос. Комарово, Приморское шоссе, 482","Санкт-Петербург, Приморское шоссе",Санкт-Петербург,Курортный,,Приморское шоссе,,,,1.0,,,+7(812)4337584;,,, prichal-layner@yandex.ru ,"• плазма 
• DVD 
• кондиционер 
• холодильник с б/а напитками
• чайник
• чай, кофе 
• халаты, тапочки
• фен","• Ресторан на 45 человек «Лайнер»
• Патио-солярий на 3 палубе отеля с лежаками
• Оздоровительный комплекс
• Большая джакузи на 6 человека
• Финская сауна
• Турецкая парная
• Прокат спортивного инвентаря (летнего и зимнего)
• Ресторан «Причал», по выходным играет живая музыка",59.994931,30.149293
12328,ЛЕБЁДУШКА,Мини-отель,20,31,"191040, Санкт-Петербург, Кузнечный пер., 14, оф. 3","Санкт-Петербург, Кузнечный переулок, 14",Санкт-Петербург,Центральный,,Кузнечный переулок,14,Владимирская,Кировско-Выборгская линия,363.0,59.927464,30.348172,+7(812)5723294;  (951) 6602867;,,, bu-alex@yandex.ru ,завтрак,"• камера для хранения багажа
• сейф
• вызов такси
• помощь в организации экскурсий",59.9275,30.354846
12329,ЛЕБЁДУШКА,Мини-отель,30,64,"194156, Санкт-Петербург, пр. Энгельса, 30 ","Санкт-Петербург, проспект Энгельса, 30",Санкт-Петербург,Выборгский,,проспект Энгельса,30,Удельная,Московско-Петроградская линия,1457.0,60.016721,30.315886, +7(812)2943234;,,,engels30@yandex.ru ,завтрак,"• камера для хранения багажа
• сейф
• вызов такси
• помощь в организации экскурсий",60.007276,30.325327
12330,ЛЕДНИКОВЫЙ ПЕРИОД,Мини-отель,4,7,"193231, Санкт-Петербург, ул. Латышских Стрелков, 1, 3 этаж","Санкт-Петербург, улица Латышских Стрелков, 1",Санкт-Петербург,Невский,,улица Латышских Стрелков,1,Проспект Большевиков,Правобережная линия,994.0,59.919874,30.466803,+7(812)9826161;  9117077073 ;,,, pan@mini-otelispb.ru ,"• телевизор
• душевая кабина
• кухня со всей бытовой техникой","• чай, кофе
• предоставление информации о городе, событиях",59.927171,30.470315
12331,ЛЕЛЬ,Мини-отель,26,,"194291, Санкт-Петербург, пр. Луначарского, 41 ","Санкт-Петербург, проспект Луначарского, 41",Санкт-Петербург,"
Выборгский ",,проспект Луначарского,41,Проспект Просвещения,Московско-Петроградская линия,4396.0,60.051468,30.332505, +7(812)9095178; 5599685;,,,lel@spbcpo.ru ,"• Банные принадлежности
• Бесплатный Wi-Fi в номере
• ЖК-телевизор
• Мини-холодильник
• Фен
• Телефон
• Чайник","• Регистрация иностранных граждан в УФМС
• Бесплатные звонки по Санкт-Петербургу
• Пользование аптечкой неотложной помощи
• Хранение багажа
• Питьевая вода
• Предоставление утюга и гладильной доски
• Вызов такси
• Утренний будильник",60.036677,30.357918
12332,ЛЕТО,Мини-отель,12,21,"190013, Санкт-Петербург, Подъездной переулок, д. 3 А ","Санкт-Петербург, Подъездной переулок, 3А",Санкт-Петербург,Адмиралтейский,,Подъездной переулок,3А,Пушкинская,Кировско-Выборгская линия,200.0,59.920614,30.329864, +7(812)9242393  ;,,,info@otel-leto.com,"• душ
• мини-кухня
• wi-fi
• ЖК-телевизор            •завтрак","• парковка
• прачечная
• трансфер
• сувениры
• экскурсии",59.919207,30.33202
12333,"ЛИГОВСКИЙ, 44",Мини-отель,18,22,"191040, Санкт-Петербург, Лиговский пр., 44  ","Санкт-Петербург, Лиговский проспект, 44",Санкт-Петербург,Центральный,,Лиговский проспект,44,Площадь Восстания,Кировско-Выборгская линия,612.0,59.931517,30.360559, +7(812)7649826;,,,hotel.ligovsky44@yandex.ru,"• ЖК - телевизоры
• кондиционирование 
• холодильники с морозильными камерами
• душевая кабина
• фен
• компьютер с локальным выходом в интернет
• завтраки 
• ночная стоянка","• стирка, сушка, глажка
• приготовление обедов и ужинов по заказу гостей",59.92603,30.359778
12334,ЛИГОВСКИЙ,Мини-отель,12,,"191119, Санкт-Петербург, ул. Тюшина, 8  ","Санкт-Петербург, улица Тюшина, 8",Санкт-Петербург,Центральный,,улица Тюшина,8,Обводный Канал,Фрунзенско-Приморская линия,,59.914583,30.349636,+7(812)7402131;,,,mail@ligovskiy.spb.ru,"• телефон
• гнездо для подключения факс-модема
• цветной телевизор
• радио и будильник","• Круглосуточная охрана;
• Информацию об авиарейсах аэропортов и расписании железнодорожных вокзалов;
• Такси;
• Билеты на экскурсии и в театр;
• Бар;
• Сауна с бассейном;
• Обслуживание в номерах 24 часа в сутки.",59.916726,30.349645
12335,ЛИРА,Мини-отель,18,65,"190031, Санкт-Петербург, Московский пр., 8","Санкт-Петербург, Московский проспект, 8",Санкт-Петербург,Московский,,Московский проспект,8,Садовая,Фрунзенско-Приморская линия,,59.926476,30.318213, +7(812)9812081 ;,,,info@planeta-piter.ru ,"• Номера для некурящих
• Доступ в мини-отель 24 часа в сутки
• Проживание детей до 2-х лет без предоставления кровати
• Круглосуточная стойка регистрации
• Видеонаблюдение в местах общего пользования, охрана
• Wi-Fi на всей территории мини-отеля
• Мини-кухня: холодильник, СВЧ, чайник, посуда
• Утюг, гладильная доска
• Фен
• Стационарный компьютер
• Вызов дешевого такси","• Парковочные места
• Завтрак 
• Камера хранения багажа
• Сейф
• Трансфер (по предварительному запросу)
• Услуги прачечной
• Проживание с животными
• Услуги по глажению одежды
• Ксерокопирование, распечатка документов
• Одноразовые тапочки, туалетные принадлежности",59.924298,30.31903
12336,ЛИСЬЯ НОРА,мини-отель,4,8,"197755, Санкт-Петербург, пос. Лисий Нос, Ленинградское шоссе, 38   ","Санкт-Петербург, поселок Лисий Нос, Ленинградское шоссе, 38",Санкт-Петербург,Приморский район,,Ленинградское шоссе,38,,,1.0,,,+7(812)4348759;,,,lisyanora@inbox.ru,"• кабельное телевидение, эфирное и НТВ+;
• ежедневная уборка номера;
• замена белья 1 раз в 3 суток (либо по требованию гостей);
• Roomservice (доставка еды и напитков из ресторана)*;
• посещение фитнес-центра (по предварительной брони);
• в летнее время — пользование пляжной зоной, велосипедные прогулки, настольный теннис
• в зимнее время — катание на коньках, лыжные прогулки, ледяная горка;
• для детей:
– посещение детской комнаты;
– посещение открытой детской площадки.",,60.028285,29.996858
12337,ЛУКОМОРЬЕ,мини-отель,3,6,"199106, Санкт-Петербург, Опочинина ул., 9","Санкт-Петербург, Опочинина улица, 9",Санкт-Петербург,Василеостровский район,,Опочинина улица,9,Приморская,Невско-Василеостровская линия,2629.0,59.948456,30.234633,+7(812)3223044;,+7(812)3563129;,http://lukomorye.spb.ru/,minihotel@list.ru,"• TV
• DVD
• высокоскоростной интернет WiFi","• Бесплатные услуги, предоставляемые отелем:
- чай, кофе в течение дня
- вызов такси, заказ билетов и экскурсий
- утюг
- аптечка
- интернет Wi-Fi
- предоставление справочной информации о Санкт-Петербурге
• Платные услуги, предоставляемые отелем:
- Трансфер: аэропорт (вокзал) — отель — аэропорт (вокзал)
- междугородние и международные телефонные переговоры
- прачечная
- химчистка
• К Вашим услугам также полностью оборудованная кухня для гостей:
газовая плита, холодильник, микроволновая печь, стиральная машина.",59.928474,30.240544
12338,ЛЮКО,мини-отель,16,31,"199397, Санкт-Петербург, Наличная ул., 44, корп. 2 ","Санкт-Петербург, Наличная улица, 44к2",Санкт-Петербург,Василеостровский район,,Наличная улица,44к2,Приморская,Невско-Василеостровская линия,636.0,59.948456,30.234633,+7(812)3523600;,,,lukohotel@gmail.com,"• Завтрак континентальный
• Парковка около гостиницы не охраняемая
• Интернет Wi-Fi
• Сейф у администратора
• Кондиционер","• Заказ авиа и ж/д билетов
• Заказ билетов в театр, экскурсии
• Заказ такси",59.952141,30.231633
12339,МЕЛАНЖ,мини-отель,7,33,"191036, Санкт-Петербург, Невский пр., 136, пом. 65   ","Санкт-Петербург, Невский проспект, 136",Санкт-Петербург,Центральный район,,Невский проспект,136,Площадь Восстания,Кировско-Выборгская линия,,59.931517,30.360559,+7(812)7177410;,,http://melange-hotel.ru/,booking@melange-hotel.ru,"• многоканальный ЖК-TV 
• Wi-Fi (беспроводной доступ в Интернет)
•  индивидуальный холодильник
•  душевая кабина
• Фен
• Кухня (холодильник, микроволновая печь, чайник, кофеварка, кулер)",завтрак,59.930025,30.368195
12340,МЕЧТА,мини-отель,4,4,"191040, Санкт-Петербург, Пушкинская ул., 8   ","Санкт-Петербург, Центральный район, Пушкинская улица, 8",Санкт-Петербург,Центральный район,,,,Маяковская,Невско-Василеостровская линия,,59.931427,30.355178,+7(812)7123555;,,,info@mz-oteli.ru ,"• TV
• Санузел
• Фен
• Банные
• Завтрак","• заказ экскурсий по городу и пригородам
• заказ такси, аренда автомобиля, если нужно - с водителем
• парковка около гостиницы",59.929962,30.357694
12341,МИЛАР,мини-отель,5,10,"195009, Санкт-Петербург, Финский пер., д. 7","Санкт-Петербург, Финский переулок, 7",Санкт-Петербург,Калининский район,,Финский переулок,7,Площадь Ленина,Кировско-Выборгская линия,,59.955719,30.355987,+7(812)5420698;,+7(812)5425230;,http://milar-spb.ru/,milarspb@mail.ru,"• отопление
• телевизор
• телефон
• мини-холодильник
• ванная комната (душевая кабина/туалет)
• фен
• завтрак","• пользование чайником, утюгом и гладильной доской
• заказ авиа и железнодорожных билетов, столика в ресторане
• парковка",59.956539,30.353705
12342,Мини-отель (хостел) при культурном фонде им.В.Суслова,мини-отель,6,23,"199034, Санкт-Петербург, 6-я  линия В.О., 47 ","Санкт-Петербург, 6-я линия В.О., 47",Санкт-Петербург,Василеостровский район,,6-я линия В.О.,47,Василеостровская,Невско-Василеостровская линия,716.0,59.942516,30.278274,+7(812)4906482;,,,mini-otel47@mail.ru,"• бесплатный Wi-Fi
• телевизор
• кухня с микроволновой печью и чайником                 • Бесплатная парковка","• Услуги по глажению одежды
• Факс/Ксерокопирование
• Индивидуальная регистрация заезда/отъезда
• Трансфер (за дополнительную плату)
• Трансфер от/до аэропорта (платный)",59.946324,30.275318
12343,"Мини-отель НА ДВИНСКОЙ, 10 к5",мини-отель,4,8,"198035, Санкт-Петербург, Двинская ул., 10, корп. 5, 1 этаж","Санкт-Петербург, Двинская улица, 10к5",Санкт-Петербург,Кировский район,,Двинская улица,10к5,Нарвская,Кировско-Выборгская линия,2538.0,59.901111,30.275004,+7(812)4909466;,,,,,,59.906797,30.248476
12344,Мини-отель на пр. КИМа,мини-отель,5,7,"199155, Санкт-Петербург, пр. КИМа, 26-б, кв. 19","Санкт-Петербург, проспект КИМа, 26Б",Санкт-Петербург,Василеостровский район,,проспект КИМа,26Б,Приморская,Невско-Василеостровская линия,1033.0,59.948456,30.234633,+7(905)2580088 моб.;,,http://mini-otel-na-kima.spb.ru/,mini-otel@mail.ru,"• Чайник
• Телевизор
• Душевая
• Мини-холодильник","• транспортные услуги микроавтобуса 
• завтрак в номер",59.953268,30.242197
12345,МИР,мини-отель,12,26,"190000, Санкт-Петербург, наб. реки Мойки, 93","Санкт-Петербург, набережная реки Мойки, 93",Санкт-Петербург,Адмиралтейский район,,набережная реки Мойки,93,Адмиралтейская,Фрунзенско-Приморская линия,865.0,59.935867,30.31523,+7(911)7024408 моб.;,,http://mirhostel.com/,mirhostel@gmail.com,"• Душ
• Туалет
• ЖК телевизор
• Холодильник
• микроволновую печь
• телефон
• бесплатный wi-fi 
• охраняемая парковка","• Экскурсии
• Визовая поддержка
• Трансфер
• Дождевики/зонты
• Настольные игры
• Хранение багажа
• Кабельное телевидение
• Чай, кофе, вода
• Локеры
• Фен",59.931364,30.306184
12346,МОХОВАЯ,мини-отель,14,21,"191028, Санкт-Петербург, Моховая ул., 27-29 ","Санкт-Петербург, Моховая улица, 27-29",Санкт-Петербург,Центральный район,,Моховая улица,27-29,Чернышевская,Кировско-Выборгская линия,1063.0,59.944436,30.359975,+7(812)7407585;,+7(812)7407585;,http://art-hotel.ru/moh/, info@art-hotel.ru,"• LCD телевизор
• сейф 
• душевая кабина
• бесплатный Wi-Fi 
• бесплатные местные телефонные звонки
• континентальный завтрак","• Круглосуточный портье
• Трансферы
• Экскурсии
• Визовая поддержка
• Бронирование авиа и ж/д билетов
• Бронирование театральных билетов
• Бронирование ресторанов
• Хранение багажа
• Аренда компьютера
• Прачечная и химчистка
• Факс и ксерокс
• Парковка
• Регистрация иностранных и российских туристов",59.941853,30.34492
12347,"МЫТНИНСКАЯ, 4/48",мини-отель,7,7,"191024, Санкт-Петербург, Мытнинская ул., 4/48","Санкт-Петербург, Мытнинская улица, 4/48",Санкт-Петербург,Центральный район,,Мытнинская улица,4/48,Площадь Восстания,Кировско-Выборгская линия,974.0,59.931517,30.360559,+7(812)2715135;,,,appart4m@mail.ru,"• кондиционеры
• TV(плазма), DVD
• мини-холодильники
• бесплатный wi-fi 
• душевая кабина с тропическим душем и душевой стойкой, душевые принадлежности","• заказ экскурсий
• регистрация иностранным гражданам
• трансфер
• билеты на поезд, самолет
• советы по туристическим маршрутам
• экскурсии по городу и пригородам
• завтрак",59.931125,30.374312
12348,МЭРИБЕЛЬ,мини-отель,18,19,"191186, Санкт-Петербург, Казанская ул., 12  ","Санкт-Петербург, Адмиралтейский район, Казанская улица, 12",Санкт-Петербург,Центральный район,,,,Невский Проспект,Московско-Петроградская линия,594.0,59.935579,30.327025,+7(812)5706696;,,http://maribelle.ru/ru/about/,maribelle@list.ru,"• ванная комната 
• телевизор
• телефон
• доступом к сети Internet
• улучшенные номера оборудованы кондиционерами
• фен, утюг, гладильную доску 
• сейф
• континентальный завтрак",• Визовая поддержка ,59.932085,30.321725
12349,НА ЖУКОВА,мини-отель,3,8,"198332, Санкт-Петербург, пр. Маршала Жукова, 33, корп. 3 ","Санкт-Петербург, проспект Маршала Жукова, 33к3",Санкт-Петербург,Красносельнский район,,проспект Маршала Жукова,33к3,Проспект Ветеранов,Кировско-Выборгская линия,3205.0,59.84211,30.250588, +7(812)9280812;,,,info@krupskiy.ru,"• Душ и туалет 
• Телевизор
• Чайник
• Холодильник на этаже
• Микроволновая печь на этаже
• Высокоскоростной Wi-Fi
• Набор белья
• Полотенца
• Тапочки",,59.857242,30.222434
12350,НА КОННОЙ,мини-отель,5,6,"191024, Санкт-Петербург, Конная ул., 5/3 ","Санкт-Петербург, Конная улица, 5",Санкт-Петербург,Центральный район,,Конная улица,5,Площадь Александра Невского 2,Правобережная линия,949.0,59.923563,30.383421, +7(812)4003714;,,http://vk.com/nakonnoi,nakonnoy@mail.ru,"• Кондиционер 
• Индивидуальный санузел с душевой кабиной 
• Фен
• тапочки, банные принадлежности, индивидуальная косметика
• Телефон с выходом в город
• Телевизор
• Холодильник
• Интернет , Wi-Fi бесплатно","• трансфер и заказ такси, аренда автомобиля
• заказ билетов в театры, музеи, .
• заказ столиков в ресторанах
• заказ авиа и железнодорожных билетов
• визовая поддержка иностранным гражданам (оговаривается индивидуально)
• бизнес-центр (ксерокопирование, печать, сканирование)
• междугородние звонки
• услуги прачечной -гладильная комната
• услуга ""Будильник""
• вызов скорой помощи
• предоставление мед.аптечки
• набор для шитья
• УЖИНЫ ( по договоренности)",59.928681,30.374914
12351,НА КРЕСТОВСКОМ,мини-отель,26,38,"197110, Санкт-Петербург, Константиновский пр., 11-а","Санкт-Петербург, Константиновский проспект, 11А",Санкт-Петербург,Петроградский район,,Константиновский проспект,11А,Крестовский Остров,Фрунзенско-Приморская линия,1300.0,59.971794,30.259373,+7(812)2353113; +7(812)2356853 ;,+7(812)2353113;,http://hotel.loniis.ru/, hotel-locniis@yandex.ru,"• отдельный санузел
• бесплатный Wi-Fi
• телевизор
• холодильник 
• телефон
• завтрак",,59.972577,30.273126
12352,НА ЛЕНИНСКОМ - БРЕСТСКОМ,мини-отель,12,12,"198332, Санкт-Петербург, Ленинский пр., 81, корп. 1 ","Санкт-Петербург, Ленинский проспект, 81к1",Санкт-Петербург,Красносельнский район,,Ленинский проспект,81к1,,,1.0,,,+7(812)3640848; 89019712211 ;,,http://www.motelspb.ru/,irina@ira.spb.ru;  secret@ira.spb.ru,"• Отдельный санузел с душевой
• Бесплатный wi-fi
• кухня (холодильник, микроволновая печь, чайник, посуда)","• Регистрация иностранцев
• Вызов такси
• Завтрак",59.856252,30.198854
12353,НА МАЯКОВСКОГО,мини-отель,6,10,"191025, Санкт-Петербург, ул. Маяковского, 3","Санкт-Петербург, Центральный район, улица Маяковского, 3",Санкт-Петербург,Центральный район,,,,Маяковская,Невско-Василеостровская линия,376.0,59.931427,30.355178,+7(921)7744559 моб.;,,,elena-gutko@mail.ru,"• Телевизор
• душевая кабина
• Бесплатный Wi-Fi интернет
• Завтрак","• парковка автомобиля 
• предоставление сейфа
• фен, утюг
• пользование оргтехникой",59.933974,30.355071
12354,НА МОХОВОЙ,мини-отель,3,3,"191028, Санкт-Петербург, Моховая ул., 42","Санкт-Петербург, Моховая улица, 42",Санкт-Петербург,Центральный район,,Моховая улица,42,Гостиный Двор,Невско-Василеостровская линия,1080.0,59.933938,30.333745,+7(812)2731032; +7(911)2358315 моб.; +7(911)7999392 моб.;,,,galina307.petrova@yandex.ru,,,59.939347,30.346276
12355,НА МУЧНОМ,мини-отель,40,40,"191023, Санкт-Петербург, Садовая ул., 25   ","Санкт-Петербург, Садовая улица, 25",Санкт-Петербург,Центральный район,,Садовая улица,25,Сенная Площадь,Московско-Петроградская линия,403.0,59.926972,30.320458,+7(812)3100412; +7(812)3100215;,,http://www.namuchnom.ru/,info@namuchnom.ru,"• Душевая кабина
• Телевизор",• Визовая поддержка ,59.929898,30.324672
12356,НА ПЕТЕРГОФСКОМ,мини-отель,12,18,"198328, Санкт-Петербург, Петергофское шоссе, 17, корп. 1","Санкт-Петербург, Петергофское шоссе, 17к1",Санкт-Петербург,Красносельнский район,,Петергофское шоссе,17к1,,,1.0,,,+7(812)4111967; +7(812)9710422;,,http://www.motelspb.ru/,irina@ira.spb.ru,"• Отдельный санузел с душевой
• Бесплатный wi-fi
• кухня (холодильник, микроволновая печь, чайник, посуда)","• Регистрация иностранцев
• Вызов такси
• Завтрак",59.847571,30.187059
12357,НА ПЕТРОГРАДСКОЙ,мини-отель,5,10,"197198, Санкт-Петербург, Большая Пушкарская ул., 17, пом.3","Санкт-Петербург, Большая Пушкарская улица, 17",Санкт-Петербург,Петроградский район,,Большая Пушкарская улица,17,Чкаловская,Фрунзенско-Приморская линия,,59.961242,30.291937, +7(812)2334884 ;,+7(812)4986518;,http://hotel-online.spb.ru/,na_petrogradskoy@mail.ru,"• Санузел
• Холодильник
• Телевизор
• Телефон","•  Такси
• Экскурсии",59.95857,30.30366
12358,НА САДОВОЙ,мини-отель,36,81,"190068, Санкт-Петербург, Садовая ул., 53","Санкт-Петербург, Садовая улица, 53",Санкт-Петербург,Адмиралтейский район,,Садовая улица,53,Садовая,Фрунзенско-Приморская линия,,59.926476,30.318213,+7(812)5703691;,,http://www.sadovaya53.ru/,,"• Парковка
 • Wi-Fi
 • Кулера на этажах
• Кухня               • Гладильная доска/утюг        • Фен","• Стиральная машина
 • Прокат велосипедов
 • Тапочки
 • Автомат по продаже кофе",59.923613,30.30958
12359,НА СЕННОЙ,мини-отель,3,5,"190031, Санкт-Петербург, Сенная пл., 13","Санкт-Петербург, Сенная площадь, 13",Санкт-Петербург,Адмиралтейский район,,Сенная площадь,13,Садовая,Фрунзенско-Приморская линия,,59.926476,30.318213, +7(812)3143514; +7(812)9748703; +7(812)3108047 ;,,http://www.nasennoy.old-spb.ru/,nasennoy@old-spb.ru,"• Wi-Fi  на территории всего отеля
• круглосуточная стойка регистрации 
• кондиционер
• подогрев полов
• мини-бар
• телевизор
• DVD-проигрыватель 
• Телефон","• сушка обуви и одежды;
• сауна;
• прачечная;
• бесплатный прокат DVD-дисков,шахмат;
• очищенная питьевая вода;
• дополнительная кровать;
• регистрация;
• сейфинг;
• свежая пресса;
• телефонные карты;
• авиа и ж/д билеты;
• транспортные услуги",59.926977,30.316344
12360,НА СПОРТИВНОЙ,мини-отель,6,12,"197198, Санкт-Петербург, пер. Талалихина, 7, пом. 4 ","Санкт-Петербург, переулок Талалихина, 7",Санкт-Петербург,Петроградский район,,переулок Талалихина,7,Спортивная,Фрунзенско-Приморская линия,,59.951871,30.290679,+7(812)9834457;,,http://www.sportivnaya.org/,na-sportivnoy@yandex.ru,"• санузел с душевой кабиной в номере
• Wi-fi
• телевизор
• телефон
• гладильная
• круглосуточная стойка регистрации","• факс
• трансфер 
• ксерокс",59.95179,30.29836
12361,НА ФРОНТОВОЙ,мини-отель,25,50,"198515, Санкт-Петербург, пос. Стрельна, Фронтовая ул., 10","Санкт-Петербург, поселок Стрельна, Фронтовая улица, 10",Санкт-Петербург,Петродворцовый район,,Фронтовая улица,10,,,1.0,,,+7(812)4212071;,,http://www.motelspb.ru/,irina@ira.spb.ru,"• предоставление справочной информации о Санкт-Петербурге
• круглосуточная служба размещения и бронирования
• регистрация иностранных граждан
• сейф у администратора
• безлимитный интернет Wi-Fi
• утюг и гладильная доска, фен
• утренняя побудка.","• Трансфер
• Услуги прачечной и химчистки
• Организация экскурсий
• Заказ авиа и ж/д билетов
• Заказ билетов в театры и музеи.",59.846111,30.034273
